NZ CREDIT CARD,£	0,US$	0,,Tax Return - R,"£	1,670.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAY REVOLUT,£	0,£	0,,Total,"£	3,968.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVIA REVOLUT,£	0,,,Overspend,"£	1,811.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO GENERAL,"£	1,500",£	0,,Laptop,"£	1,899.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO SPENDING,£	0,,,Remaining,£	258.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO BILLS,£	52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO RENT,£	250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO NZ HOUSE,£	0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 1,Thursday,August 21,£	442.77,,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	171.43,£	(57.14),,£	53.62,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	890.99,,,,US$	16.44,£	7.40,,"£	1,743.82","US$	3,875.16",,£	0.00,"US$	3,891.60","US$	1,751.22","£	6,575.96","US$	14,613.24"
WEEK 1,Friday,August 22,£	442.77,,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	114.29,£	(57.14),,£	47.68,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	890.99,,,,US$	16.44,£	7.40,,"£	1,743.82","US$	3,875.16",,£	0.00,"US$	3,891.60","US$	1,751.22","£	6,512.87","US$	14,473.05"
WEEK 1,Saturday,August 23,£	442.77,,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	57.15,£	(57.14),,£	41.73,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	890.99,,,,US$	16.44,£	7.40,,"£	1,743.82","US$	3,875.16",,£	0.00,"US$	3,891.60","US$	1,751.22","£	6,449.79","US$	14,332.86"
WEEK 1,Sunday,August 24,£	442.77,,,,,,,£	(82.00),,,,£	82.00,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	0.01,£	(57.14),,£	35.79,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	808.99,,,£	(82.00),US$	16.44,£	7.40,,"£	1,825.82","US$	4,057.38",,£	82.00,"US$	4,073.82","US$	1,833.22","£	6,386.70","US$	14,192.68"
WEEK 2,Monday,August 25,£	0.00,,,,£	(242.77),,,,,,,£	(200.00),"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	208.10,£	(34.68),£	242.77,£	29.84,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	808.99,£	(100.00),£	(100.00),£	200.00,US$	16.44,£	7.40,,"£	1,825.82","US$	4,057.38",,£	0.00,"US$	4,073.82","US$	1,833.22","£	6,146.08","US$	13,657.96"
WEEK 2,Tuesday,August 26,£	0.00,,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	2,991.53","£	1,346.19",,,,,,£	173.42,£	(34.68),,£	23.90,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	808.99,,,,US$	16.44,£	7.40,,"£	1,825.82","US$	4,057.38",,£	0.00,"US$	4,073.82","US$	1,833.22","£	6,105.46","US$	13,567.68"
WEEK 2,Wednesday,August 27,£	0.00,,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	1,133.53",£	510.09,"US$	(1,858.00)",,,,,£	138.74,£	(34.68),,£	17.95,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	808.99,,,,US$	16.44,£	7.40,,"£	1,825.82","US$	4,057.38",,£	0.00,"US$	4,073.82","US$	1,833.22","£	5,228.73","US$	11,619.40"
WEEK 2,Thursday,August 28,£	0.00,,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	1,133.53",£	510.09,,,,,,£	104.06,£	(34.68),,£	12.01,£	(5.94),,£	173.74,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	808.99,,,,US$	16.44,£	7.40,,"£	1,825.82","US$	4,057.38",,£	0.00,"US$	4,073.82","US$	1,833.22","£	5,188.11","US$	11,529.12"
WEEK 2,Friday,August 29,"£	4,349.39","£	4,204.19",,,,,,£	145.20,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	1,133.53",£	510.09,,,,,,£	69.38,£	(34.68),,£	6.06,£	(5.94),,£	137.14,,,£	(36.60),,"£	1,746.00",,US$	0.00,£	0.00,,,£	808.99,,,,US$	16.44,£	7.40,,£	923.10,"US$	2,051.33",£	(757.52),£	(145.20),"US$	2,067.77",US$	930.50,"£	8,557.55","US$	19,016.78"
WEEK 2,Saturday,August 30,"£	1,371.39",,,,£	(450.00),£	(178.34),£	(250.00),£	(604.46),,"£	(1,350.00)",,£	(145.20),"US$	10,000.00",US$	0.00,£	0.00,,"US$	1,133.53",£	510.09,,,,,,£	484.70,£	(34.68),£	450.00,£	178.46,£	(5.94),£	178.34,£	387.14,,,,£	250.00,"£	1,746.00",,"US$	3,000.00","£	1,350.00",,"US$	3,000.00",£	954.19,,,£	145.20,US$	16.44,£	7.40,,"£	1,319.56","US$	2,932.36",£	(208.00),£	604.46,"US$	2,948.80","US$	1,326.96","£	8,308.93","US$	18,464.28"
